Horodateur,Age,Gender,"Field of study (e.g., Engineering, Medical, Finance...)","On a scale of 1 to 10, how would you rate your overall mental health? ",How often do you feel stressed?,How often do you feel anxious or worried?,"How often do you feel down, depressed, or hopeless?",Have you ever sought mental health support or counseling services during your time as a student?,"What factors, if any, contribute to stress or anxiety in your life as a student?","On a scale of 1 to 10, how would you rate your overall physical health? ","How often do you engage in physical activities (e.g., exercise, sports)?","How often do you engage in activities that you enjoy (e.g., hobbies, relaxation, entertainment)?",Do you have any existing medical conditions that you think may impact your physical health?,"On average, how many hours of sleep do you get per night?",Have you noticed any changes in your sleep patterns that may be related to your emotional state  ?,How would you describe your eating habits? Do you eat in a balanced way?,Have you observed any changes in your appetite that might be linked to your emotional state?,"How often do you partake in substance consumption, such as alcohol and tobacco?","Do you observe any physical symptoms (e.g., headaches, muscle tension) when you are stressed?",How would you rate the quality of your social relationships?,How would you assess the quality of your social relationships with your peers?,"Do you feel that you have a support system (e.g., friends, mentors) that you can turn to when you’re feeling stressed or down?",Have you encountered relational difficulties recently? Please briefly describe.,"How would you describe your relationship with your family members?
",Is your social life influenced by the dynamics within your family?,Do you feel a sense of belonging within your academic community?,"What types of social activities or clubs do you participate in, if any?",How would you rate how involvement in such groups influenced your social connections?,How do you typically cope with challenges or setbacks in your academic and personal life?,Do you feel equipped with the necessary emotional resilience skills to navigate the demands of student life?,"Are you aware of the mental health resources available at your school (e.g., counseling services, support groups)? ","If yes, have you ever used these resources?",How would you rate your academic performance?,Have you noticed a correlation between your mental health and your academic performance?,"If yes, could you briefly describe this correlation?","Based on your experiences, what recommendations do you have for improving student well-being at our institution?",Is there anything else you would like to share about your overall well-being as a student?
18/11/2023 15:51:44,21-24,Male,Telecommunication ,7,Sometimes,Sometimes,Often,No,"Studies 
Relationships
",6,Once a month,Often,No,7 to 9 hours,Yes,No,No,Occasionally,Yes,8,There are some issues,No,,Very good,Yes,Yes,Clubs within the university,Good,Good way,Unsure,Yes,No,3,Yes,When i feel stressed or down I can't get anything done ,,
18/11/2023 16:02:03,18-20,Female,Engineering ,4,Sometimes,Sometimes,Sometimes,No,,4,Not at all,Occasionally,No,7 to 9 hours,Yes,No,Yes,Never,Yes,3,Single,Yes,,Very good,Yes,Yes,School clubs ,Normal,Normal,Unsure,No,No,2,Yes,,,
18/11/2023 16:02:24,21-24,Male,Engineering ,3,Rarely,Rarely,Rarely,No,"Financial problems,  transportation, studying ",7,Between once and 3 times per week,Sometimes,No,7 to 9 hours,No,No,No,Never,Yes,7,Single,Yes,,Good,No,No,"Robotic club , football",Good,Good way,Yes,Yes,No,4,Yes,,Consistency is the key to every thing ,Try to enjoy every moment of your life
18/11/2023 16:12:16,18-20,Female,Engineering,6,Often,Often,Sometimes,Yes,Failure ,9,Not at all,Occasionally,No,7 to 9 hours,No,No,No,Never,Yes,6,Everything is going well,Yes,No,Very good,No,Yes,Nothing,Normal,Normal,Yes,No,No,3,Yes,"For example if i'm stressed, i can't focus on my studies",Let them contact a specialist ,
18/11/2023 16:14:09,21-24,Male,Engineering ,6,Sometimes,Sometimes,Rarely,No,,8,Between once and 3 times per week,Often,No,7 to 9 hours,No,Yes,Yes,Often,Yes,8,There are some issues,No,,Good,No,Yes,Clubs related to engineering ,Good,Bad way,Unsure,Yes,No,3,Yes,,,
18/11/2023 16:21:56,21-24,Female,Electrical engineering,3,Always,Often,Sometimes,No,Srudies,8,Between once and 3 times per week,Sometimes,Yes,7 to 9 hours,Yes,No,Yes,Sometimes,Yes,9,There are some issues,Yes,,Normal,Yes,Yes,IEEE,Good,Good way,Unsure,Yes,No,3,Yes,,,
18/11/2023 16:24:45,21-24,Female,Engineering ,5,Sometimes,Always,Sometimes,Yes,Exams ,8,Not at all,Often,No,7 to 9 hours,Yes,No,Yes,Never,Yes,7,Everything is going well,Yes,No,Good,No,Yes,Member of two clubs,Good,Normal,Unsure,No,No,3,No,,,
18/11/2023 16:33:26,21-24,Male,engeineering,8,Rarely,Sometimes,Sometimes,No,,6,Between once and 3 times per week,Occasionally,No,7 to 9 hours,Yes,Yes,Yes,Never,No,8,Everything is going well,Yes,,Very good,Yes,Yes,scientific clubs,Normal,Good way,Yes,Yes,No,4,Yes,"In one hand when i feel drained from relationships or when i'm going through a stressful sitiuation, my academic perforamnce could take a slight hit .In the other hand , somtimes i manage to convert the stressful situation to a motive that helps me persist and study better.","I think we need to teach students how to cope with stress.
We should incorporate essential sotial activities and interactions.",
18/11/2023 16:34:11,21-24,Male,Engineering,5,Sometimes,Often,Rarely,No,"Mandatory attendance, it makes it harder to work on myself",8,Between once and 3 times per week,Often,Yes,7 to 9 hours,Yes,Yes,Yes,Occasionally,No,6,There are some issues,Yes,"Very negative and demotivating roommate, it doesn't affect me though",Normal,No,No,Technical,Normal,Good way,Yes,No,No,2,Yes,"Mandatory attendence makes it very hard to focus on myself, and to self-learn like I usually do",Stop mandatory attendece,No
18/11/2023 16:34:47,21-24,Male,Dentistry,8,Rarely,Rarely,Rarely,No,Maybe exams ,9,Between once and 3 times per week,Always,No,7 to 9 hours,No,No,No,Never,No,9,Everything is going well,Yes,I don't remember,Very good,No,Yes,An Association that concernes dental students,Good,Good way,Yes,Yes,No,4,No,,,
18/11/2023 16:38:07,21-24,Female,Medical,8,Sometimes,Sometimes,Often,No,Exams,8,Once a month,Often,No,7 to 9 hours,Yes,No,Yes,Never,Yes,7,There are some issues,Yes,,Very good,Yes,Yes,"Organizing a congress, volunteering",Good,Normal,Yes,Yes,No,4,Yes,,,
18/11/2023 16:39:58,21-24,Female,Engineering ,3,Always,Often,Sometimes,No,"Exams grades , studies accumulation transport...",5,Not at all,Sometimes,Yes,4 to 6 hours,Yes,Yes,Yes,Never,Yes,6,There are some issues,Yes, ,Good,Yes,Yes, ,Normal,Normal,Yes,Yes,No,3,Yes, , , 
18/11/2023 16:41:38,18-20,Female,Engineering,7,Often,Sometimes,Sometimes,Yes,Studies and perfectionism ,8,Once a month,Often,No,4 to 6 hours,Yes,No,No,Never,Yes,8,There are some issues,Yes,Fake people everywhere ,Normal,Yes,Yes,Im a prt of 2 clubs in my school,Good,Normal,Unsure,No,No,3,Yes,When i have 0 energy or when i have bad conflicts with my family i dont study at all ,We need to be more educated about it from a young age ,"I feel kind of not like my self these past day , but im starting to feel better by each day cuz the transition between preparatory studies and engineering is kinda confusing"
